county,fips,court_id,judge_name,address,coa_districts,coa_local_districts,coa_has_local_overlap
Randall,48381,tx_ccc_48381,Christy Dyer,"501 16th St., Ste. 303, Canyon 79015","[7, 15]",[7],False
Reagan,48383,tx_ccc_48383,James T. O'Bryan,"P.O. Box 100, Big Lake 76932","[8, 15]",[8],False
Real,48385,tx_ccc_48385,"2/27/26, 1:11 AM County Judges","Bella A. Rubio P.O. Box 446, Leakey 78873","[4, 15]",[4],False
Red River,48387,tx_ccc_48387,Robert Bridges,"400 N. Walnut St., Clarksville 75426","[6, 15]",[6],False
Reeves,48389,tx_ccc_48389,Leo Hung,"P.O. Box 867, Pecos 79772","[8, 15]",[8],False
Refugio,48391,tx_ccc_48391,Jhiela (Gigi) Poynter,"808 Commerce, Rm. 104, Refugio 78377","[13, 15]",[13],False
Roberts,48393,tx_ccc_48393,Mitchell Locke,"P.O. Box 478, Miami 79059","[7, 15]",[7],False
Robertson,48395,tx_ccc_48395,Joe David Scarpinato,"P.O. Box 427, Franklin 77856","[10, 15]",[10],False
Rockwall,48397,tx_ccc_48397,Frank New,"101 E. Rusk St., Ste 201, Rockwall 75087","[5, 15]",[5],False
Runnels,48399,tx_ccc_48399,Julia Miller,"613 Hutchings Ave., Room 103, Ballinger 76821","[3, 15]",[3],False
Rusk,48401,tx_ccc_48401,Joel Hale,"115 North Main Street #104, Henderson 75652","[6, 12, 15]","[6, 12]",True
Sabine,48403,tx_ccc_48403,Daryl D. Melton,"P.O. Box 716, Hemphill 75948","[12, 15]",[12],False
San Augustine,48405,tx_ccc_48405,Jeff Boyd,"106 Courthouse, San Augustine 75972","[12, 15]",[12],False
San Jacinto,48407,tx_ccc_48407,Fritz Faulkner,"1 State Hwy 150, Rm. 5, Coldspring 77331","[9, 15]",[9],False
San Patricio,48409,tx_ccc_48409,David R. Krebs,"1301 E. Sinton St, Suite C, Sinton, TX 78387","[13, 15]",[13],False
San Saba,48411,tx_ccc_48411,Jody A. Fauley,"Courthouse, 500 E. Wallace, San Saba 76877","[3, 15]",[3],False
Schleicher,48413,tx_ccc_48413,Charlie Bradley,"P.O. Box 536, Eldorado 76936","[3, 15]",[3],False
Scurry,48415,tx_ccc_48415,Dan Hicks,"1806 25th St., Ste. 200, Snyder 79549","[11, 15]",[11],False
Shackelford,48417,tx_ccc_48417,John M. Viertel,"P.O. Box 2797, Albany 76430","[11, 15]",[11],False
Shelby,48419,tx_ccc_48419,Allison Harbison,"200 San Augustine St. #6, Center 75935","[12, 15]",[12],False
Sherman,48421,tx_ccc_48421,Terri Beth Carter,"P.O. Box 165, Stratford 79084","[7, 15]",[7],False
Smith,48423,tx_ccc_48423,Neal Franklin,"200 E. Ferguson St., Suite 100, Tyler 75702","[12, 15]",[12],False
Somervell,48425,tx_ccc_48425,Danny Chambers,"P.O. Box 851, Glen Rose 76043","[10, 15]",[10],False
Starr,48427,tx_ccc_48427,Eloy Vera,"100 N. FM 3167, Ste 202, Rio Grande City 78582","[4, 15]",[4],False
Stephens,48429,tx_ccc_48429,Michael Roach,"200 W. Walker, Breckenridge 76424","[11, 15]",[11],False
Sterling,48431,tx_ccc_48431,Deborah Horwood,"P.O. Box 819, Sterling City 76951","[3, 15]",[3],False
Stonewall,48433,tx_ccc_48433,Ronnie D. Moorhead,"P.O. Box 366, Aspermont 79502","[11, 15]",[11],False
Sutton,48435,tx_ccc_48435,Joseph (Jody) Harris,"300 E. Oak, Ste 3, Sonora 76950","[4, 15]",[4],False
Swisher,48437,tx_ccc_48437,Harold Keeter,"119 S. Maxwell, Tulia 79088","[7, 15]",[7],False
Tarrant,48439,tx_ccc_48439,Tim O'Hare,"100 E. Weatherford, Ste. 501, Fort Worth 76196","[2, 15]",[2],False
Taylor,48441,tx_ccc_48441,Phil Crowley,"400 Oak St., Ste. 300, Abilene 79602","[11, 15]",[11],False
Terrell,48443,tx_ccc_48443,Dale Carruthers,"P.O. Drawer 410, Sanderson 79848","[8, 15]",[8],False
Terry,48445,tx_ccc_48445,Tony Serbantez,"500 W. Main, Rm. 102, Brownfield 79316","[7, 15]",[7],False
Throckmorton,48447,tx_ccc_48447,Caleb W. Hodges,"105 N. Minter, Throckmorton 76483","[11, 15]",[11],False
Titus,48449,tx_ccc_48449,Kent Cooper,"100 W. 1st, Suite 200, Mt. Pleasant 75455","[6, 15]",[6],False
Tom Green,48451,tx_ccc_48451,Lane Carter,"113 W Beauregard, San Angelo 76901","[3, 15]",[3],False
Travis,48453,tx_ccc_48453,Andy Brown,"700 Lavaca, Ste. 2.300, Austin 78701","[3, 15]",[3],False
Trinity,48455,tx_ccc_48455,Danny Martin,"P.O. Box 457, Groveton 75845","[12, 15]",[12],False
Tyler,48457,tx_ccc_48457,Milton Powers,"100 West Bluff, Rm. 101, Woodville 75979","[9, 15]",[9],False
Upshur,48459,tx_ccc_48459,Todd Tefteller,"P.O. Box 730, Gilmer 75644","[6, 12, 15]","[6, 12]",True
Upton,48461,tx_ccc_48461,Dusty Kilgore,"P.O. Box 482, Rankin 79778","[8, 15]",[8],False
Uvalde,48463,tx_ccc_48463,William R. Mitchell,"100 N. Getty, Uvalde 78801","[4, 15]",[4],False
Val Verde,48465,tx_ccc_48465,Lewis G. Owens Jr.,"400 Pecan Street, Del Rio 78840","[4, 15]",[4],False
Van Zandt,48467,tx_ccc_48467,"2/27/26, 1:11 AM County Judges","Andrew Reese 121 E. Dallas, Rm. 203, Canton 75103","[12, 15]",[12],False
Victoria,48469,tx_ccc_48469,Ben Zeller,"101 N. Bridge, Rm. 102, Victoria 77901","[13, 15]",[13],False
Walker,48471,tx_ccc_48471,Colt M. Christian,"1100 University Ave, #204, Huntsville 77340","[10, 15]",[10],False
Waller,48473,tx_ccc_48473,"Carbett “Trey” J. Duhon, III","836 Austin St., Rm 203, Hempstead 77445","[1, 14, 15]","[1, 14]",True
Ward,48475,tx_ccc_48475,Greg M. Holly,"400 South Allen St., Ste. 100, Monahans 79756","[8, 15]",[8],False
Washington,48477,tx_ccc_48477,John L. Durrenberger,"100 E. Main, Ste. 104, Brenham 77833","[1, 14, 15]","[1, 14]",True
Webb,48479,tx_ccc_48479,Tano E. Tijerina,"1000 Houston, 3rd Floor, Laredo 78040","[4, 15]",[4],False
Wharton,48481,tx_ccc_48481,Phillip Spenrath,"309 E. Milam, Ste. 600, Wharton 77488","[13, 15]",[13],False
Wheeler,48483,tx_ccc_48483,Pat McDowell,"Box 486, Wheeler 79096","[7, 15]",[7],False
Wichita,48485,tx_ccc_48485,Jim Johnson,"900 7th St., Rm. 206, Wichita Falls 76301","[2, 15]",[2],False
Wilbarger,48487,tx_ccc_48487,Greg Tyra,"1700 Wilbarger St., Rm. 12, Vernon 76384","[7, 15]",[7],False
Willacy,48489,tx_ccc_48489,"Aurelio ""Keter"" Guerra","576 W. Main, Raymondville 78580","[13, 15]",[13],False
Williamson,48491,tx_ccc_48491,"Bill Gravell, Jr.","710 So. Main, Ste 201, Georgetown 78626","[3, 15]",[3],False
Wilson,48493,tx_ccc_48493,"Henry ""Hank"" Whitman, Jr.","1103 4th St, Floresville 78114","[4, 15]",[4],False
Winkler,48495,tx_ccc_48495,Charles M. Wolf,"P. O. Drawer Y, Kermit 79745","[8, 15]",[8],False
Wise,48497,tx_ccc_48497,J.D. Clark,"P.O. Box 393, Decatur 76234","[2, 15]",[2],False
Wood,48499,tx_ccc_48499,Kevin White,"P.O. Box 938, Quitman 75783","[6, 12, 15]","[6, 12]",True
Yoakum,48501,tx_ccc_48501,Michael C. Ybarra,"P.O. Box 456, Plains 79355","[7, 15]",[7],False
Young,48503,tx_ccc_48503,Win Graham,"516 Fourth Street, Room 108, Graham 76450","[2, 15]",[2],False
Zapata,48505,tx_ccc_48505,Joe Rathmell,"P.O. Box 99, Zapata 78076","[4, 15]",[4],False
Zavala,48507,tx_ccc_48507,Jesus Gonzales,"200 E. Uvalde St., Ste. 9, Crystal City 78839","[4, 15]",[4],False
